Origin,Destination,Mode,Distance_miles,Season,Fuel_Index,Carrier_Tier,Rate_USD
New York,New York,Ocean,7770,Q1,0.85,Tier 2,3632.47
Los Angeles,Los Angeles,Air,5324,Q2,0.97,Tier 2,8947.12
New York,Singapore,Ocean,5785,Q2,0.84,Tier 3,3061.42
Rotterdam,Tokyo,Truck,4899,Q4,1.18,Tier 2,4387.64
Rotterdam,New York,Ocean,4977,Q2,0.94,Tier 3,2947.38
Los Angeles,Los Angeles,Ocean,4100,Q1,1.25,Tier 1,2562.5
Singapore,Tokyo,Air,6877,Q3,1.06,Tier 3,14433.45
Singapore,Singapore,Ocean,5724,Q2,1.2,Tier 1,3606.12
New York,Tokyo,Truck,7181,Q4,1.29,Tier 3,7670.17
Shanghai,Los Angeles,Ocean,7880,Q2,1.22,Tier 2,5551.85
New York,Tokyo,Truck,6988,Q1,1.23,Tier 3,6188.57
Los Angeles,Hamburg,Ocean,6576,Q4,1.0,Tier 3,4537.44
Los Angeles,Tokyo,Air,723,Q2,1.08,Tier 1,1229.82
Los Angeles,New York,Ocean,2593,Q4,0.93,Tier 2,1525.27
Los Angeles,New York,Truck,3317,Q1,0.9,Tier 3,2149.42
Los Angeles,Hamburg,Ocean,2793,Q3,1.05,Tier 2,1774.25
Rotterdam,Los Angeles,Ocean,2168,Q1,1.1,Tier 3,1430.88
Singapore,New York,Truck,5397,Q1,0.97,Tier 3,3769.26
Los Angeles,Singapore,Ocean,1953,Q1,1.08,Tier 2,1160.08
Shanghai,New York,Ocean,6132,Q1,1.24,Tier 3,4562.21
Shanghai,New York,Ocean,7440,Q3,1.08,Tier 2,4861.3
Shanghai,Los Angeles,Ocean,7137,Q3,1.16,Tier 3,5464.09
Shanghai,Tokyo,Ocean,2496,Q4,1.2,Tier 1,1722.24
Rotterdam,New York,Ocean,6390,Q2,1.29,Tier 2,4760.39
Shanghai,Hamburg,Truck,5440,Q3,1.1,Tier 3,4739.33
Los Angeles,Tokyo,Ocean,2461,Q3,1.2,Tier 3,1949.11
New York,Singapore,Ocean,2486,Q2,1.28,Tier 1,1670.59
Shanghai,Los Angeles,Truck,5375,Q3,1.27,Tier 2,4955.86
Rotterdam,Singapore,Air,6693,Q1,0.87,Tier 3,10481.24
Rotterdam,Tokyo,Ocean,4402,Q1,1.0,Tier 1,2201.0
Shanghai,Tokyo,Ocean,3078,Q2,0.96,Tier 3,1861.57
New York,Tokyo,Ocean,4343,Q4,0.84,Tier 2,2307.44
Shanghai,Singapore,Ocean,3844,Q4,1.12,Tier 3,2970.64
Rotterdam,Tokyo,Ocean,4632,Q2,1.17,Tier 3,3414.25
Singapore,Singapore,Ocean,5345,Q2,1.22,Tier 3,4108.17
Los Angeles,Tokyo,Ocean,7147,Q1,0.86,Tier 3,3687.85
Rotterdam,Hamburg,Ocean,5576,Q4,1.24,Tier 1,3975.69
Shanghai,Tokyo,Truck,2255,Q3,1.12,Tier 1,1666.9
Los Angeles,Singapore,Truck,4920,Q1,1.15,Tier 2,3734.28
Shanghai,New York,Ocean,6186,Q2,1.26,Tier 1,4092.04
Shanghai,Tokyo,Ocean,1476,Q4,1.11,Tier 1,942.06
Singapore,New York,Ocean,6011,Q3,0.97,Tier 2,3527.56
Los Angeles,Hamburg,Air,2966,Q3,1.21,Tier 1,5921.62
Los Angeles,Los Angeles,Ocean,502,Q1,0.98,Tier 1,245.98
Singapore,Hamburg,Ocean,838,Q4,0.82,Tier 2,434.63
Rotterdam,Tokyo,Truck,255,Q4,1.22,Tier 2,236.12
Shanghai,New York,Air,5021,Q2,0.97,Tier 2,8437.92
New York,New York,Truck,725,Q4,1.19,Tier 3,714.36
Shanghai,Singapore,Air,4769,Q4,0.98,Tier 3,9674.39
Shanghai,New York,Ocean,4323,Q1,1.23,Tier 2,2924.51
Rotterdam,Singapore,Ocean,2325,Q4,0.91,Tier 2,1338.21
Shanghai,Los Angeles,Truck,3487,Q3,1.29,Tier 2,3265.71
Singapore,Tokyo,Air,7753,Q1,1.19,Tier 3,16606.93
Singapore,Singapore,Ocean,564,Q1,0.86,Tier 3,291.02
Los Angeles,Los Angeles,Ocean,7009,Q2,1.08,Tier 1,3974.1
New York,New York,Ocean,4821,Q4,1.29,Tier 1,3575.98
Shanghai,New York,Air,7042,Q2,1.04,Tier 2,12688.28
Shanghai,Los Angeles,Truck,5631,Q3,0.89,Tier 3,3969.18
Rotterdam,New York,Ocean,5178,Q1,1.04,Tier 3,3231.07
Singapore,Los Angeles,Ocean,5326,Q1,1.06,Tier 3,3387.34
New York,Singapore,Ocean,5322,Q1,1.17,Tier 2,3424.71
Los Angeles,Singapore,Truck,1846,Q3,1.15,Tier 1,1401.11
Singapore,Los Angeles,Air,1118,Q3,1.0,Tier 2,2029.17
Los Angeles,Singapore,Air,2997,Q2,0.91,Tier 1,4295.45
Rotterdam,Singapore,Ocean,6706,Q2,1.12,Tier 1,3943.13
Rotterdam,Singapore,Ocean,6070,Q2,1.01,Tier 2,3540.48
Shanghai,Hamburg,Ocean,1731,Q4,0.87,Tier 1,865.93
New York,Tokyo,Ocean,3545,Q1,1.25,Tier 1,2215.62
Los Angeles,New York,Air,7873,Q1,1.15,Tier 3,16297.11
